BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.js;1863;4941
apps/accessibility/accessibility-settings-state-web/__liferay__/index.js;490;898
apps/account/account-admin-web/__liferay__/index.js;6861;25190
apps/adaptive-media/adaptive-media-web/__liferay__/index.js;3773;11099
apps/address/address-web/__liferay__/index.js;1289;3890
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js;3183;11825
apps/analytics/analytics-settings-web/__liferay__/index.js;13131;56679
apps/announcements/announcements-web/__liferay__/index.js;684;1126
apps/application-list/application-list-taglib/__liferay__/index.js;1623;3911
apps/asset/asset-categories-admin-web/__liferay__/index.js;2974;9179
apps/asset/asset-categories-item-selector-web/__liferay__/index.js;3025;8788
apps/asset/asset-list-web/__liferay__/index.js;8480;29389
apps/asset/asset-publisher-web/__liferay__/index.js;5815;19212
apps/asset/asset-taglib/__liferay__/index.js;5126;16504
apps/asset/asset-tags-admin-web/__liferay__/index.js;985;1877
apps/batch-planner/batch-planner-web/__liferay__/index.js;11160;40835
apps/blogs/blogs-web/__liferay__/index.js;4862;15438
apps/bookmarks/bookmarks-web/__liferay__/index.js;1136;2411
apps/calendar/calendar-web/__liferay__/index.js;846;2119
apps/change-tracking/change-tracking-web/__liferay__/index.js;30588;134343
apps/client-extension/client-extension-web/__liferay__/index.js;3893;11989
apps/comment/comment-taglib/__liferay__/index.js;3850;10919
apps/commerce/commerce-account-web/__liferay__/index.js;1092;2132
apps/commerce/commerce-availability-estimate-web/__liferay__/index.js;621;1008
apps/commerce/commerce-cart-content-web/__liferay__/index.js;1198;3443
apps/commerce/commerce-catalog-web/__liferay__/index.js;1031;3076
apps/commerce/commerce-channel-web/__liferay__/index.js;4118;11825
apps/commerce/commerce-checkout-web/__liferay__/index.js;2608;7208
apps/commerce/commerce-client-extension-web/__liferay__/index.js;442;671
apps/commerce/commerce-frontend-js/__liferay__/index.js;59321;227784
apps/commerce/commerce-frontend-taglib/__liferay__/index.js;4487;14079
apps/commerce/commerce-order-content-web/__liferay__/index.js;14689;64984
apps/commerce/commerce-order-rule-web/__liferay__/index.js;1966;7732
apps/commerce/commerce-order-web/__liferay__/index.js;3719;12975
apps/commerce/commerce-payment-web/__liferay__/index.js;2042;5754
apps/commerce/commerce-pricing-web/__liferay__/index.js;5577;35667
apps/commerce/commerce-product-asset-categories-navigation-web/__liferay__/index.js;918;1946
apps/commerce/commerce-product-asset-categories-web/__liferay__/index.js;1309;3166
apps/commerce/commerce-product-content-category-web/__liferay__/index.js;274;441
apps/commerce/commerce-product-content-search-web/__liferay__/index.js;1069;2413
apps/commerce/commerce-product-content-web/__liferay__/index.js;3624;11591
apps/commerce/commerce-product-definitions-web/__liferay__/index.js;9352;40026
apps/commerce/commerce-product-measurement-unit-web/__liferay__/index.js;776;1396
apps/commerce/commerce-product-options-web/__liferay__/index.js;3685;12583
apps/commerce/commerce-product-tax-category-web/__liferay__/index.js;624;984
apps/commerce/commerce-product-type-grouped-web/__liferay__/index.js;790;1422
apps/commerce/commerce-product-type-virtual-order-content-web/__liferay__/index.js;758;1245
apps/commerce/commerce-product-type-virtual-web/__liferay__/index.js;530;1075
apps/commerce/commerce-shipment-web/__liferay__/index.js;240;307
apps/commerce/commerce-shipping-engine-fixed-web/__liferay__/index.js;1316;3547
apps/commerce/commerce-taglib/__liferay__/index.js;418;690
apps/commerce/commerce-tax-engine-fixed-web/__liferay__/index.js;404;715
apps/commerce/commerce-term-web/__liferay__/index.js;1583;3857
apps/commerce/commerce-warehouse-web/__liferay__/index.js;2158;7511
apps/configuration-admin/configuration-admin-web/__liferay__/index.js;525;849
apps/contacts/contacts-web/__liferay__/index.js;54;34
apps/content-dashboard/content-dashboard-document-library-impl/__liferay__/index.js;464;835
apps/content-dashboard/content-dashboard-web/__liferay__/index.js;16270;57948
apps/cookies/cookies-banner-web/__liferay__/index.js;2369;6057
apps/data-engine/data-engine-js-components-web/__liferay__/index.js;47408;159466
apps/data-engine/data-engine-rest-impl/__liferay__/index.js;54;34
apps/data-engine/data-engine-taglib/__liferay__/index.js;24953;92067
apps/depot/depot-web/__liferay__/index.js;5626;18670
apps/digital-signature/digital-signature-web/__liferay__/index.js;12292;42939
apps/dispatch/dispatch-web/__liferay__/index.js;835;1762
apps/document-library/document-library-preview-css/__liferay__/index.js;244;350
apps/document-library/document-library-preview-document/__liferay__/index.js;1837;4776
apps/document-library/document-library-preview-image/__liferay__/index.js;1500;3852
apps/document-library/document-library-taglib/__liferay__/index.js;1411;3853
apps/document-library/document-library-video/__liferay__/index.js;2386;6743
apps/document-library/document-library-web/__liferay__/index.js;14399;51230
apps/dynamic-data-lists/dynamic-data-lists-web/__liferay__/index.js;1007;2520
apps/dynamic-data-mapping/dynamic-data-mapping-data-provider-web/__liferay__/index.js;712;1260
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/api.js;3956;11322
