BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.js;1883;4989
apps/accessibility/accessibility-settings-state-web/__liferay__/index.js;490;898
apps/account/account-admin-web/__liferay__/index.js;6861;25190
apps/adaptive-media/adaptive-media-web/__liferay__/index.js;3773;11099
apps/address/address-web/__liferay__/index.js;1289;3890
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js;3183;11825
apps/analytics/analytics-reports-js-components-web/__liferay__/index.js;57728;180309
apps/analytics/analytics-settings-web/__liferay__/index.js;13147;56967
apps/announcements/announcements-web/__liferay__/index.js;684;1126
apps/application-list/application-list-taglib/__liferay__/index.js;1623;3911
apps/asset/asset-categories-admin-web/__liferay__/index.js;2974;9179
apps/asset/asset-categories-item-selector-web/__liferay__/index.js;3050;8819
apps/asset/asset-list-web/__liferay__/index.js;8480;29389
apps/asset/asset-publisher-web/__liferay__/index.js;5815;19212
apps/asset/asset-taglib/__liferay__/index.js;5126;16504
apps/asset/asset-tags-admin-web/__liferay__/index.js;985;1877
apps/batch-planner/batch-planner-web/__liferay__/index.js;11177;41027
apps/blogs/blogs-web/__liferay__/index.js;4862;15438
apps/bookmarks/bookmarks-web/__liferay__/index.js;1136;2411
apps/calendar/calendar-web/__liferay__/index.js;846;2119
apps/change-tracking/change-tracking-web/__liferay__/index.js;30735;135027
apps/client-extension/client-extension-web/__liferay__/index.js;3994;12318
apps/comment/comment-taglib/__liferay__/index.js;3887;10969
apps/commerce/commerce-account-web/__liferay__/index.js;1092;2132
apps/commerce/commerce-availability-estimate-web/__liferay__/index.js;621;1008
apps/commerce/commerce-cart-content-web/__liferay__/index.js;1198;3443
apps/commerce/commerce-catalog-web/__liferay__/index.js;1031;3076
apps/commerce/commerce-channel-web/__liferay__/index.js;4118;11825
apps/commerce/commerce-checkout-web/__liferay__/index.js;2627;7259
apps/commerce/commerce-client-extension-web/__liferay__/index.js;442;671
apps/commerce/commerce-fragment/commerce-fragment-impl/__liferay__/index.js;2801;8501
apps/commerce/commerce-frontend-js/__liferay__/index.js;59919;229637
apps/commerce/commerce-frontend-taglib/__liferay__/index.js;4522;14129
apps/commerce/commerce-order-content-web/__liferay__/index.js;14744;65178
apps/commerce/commerce-order-rule-web/__liferay__/index.js;1966;7732
apps/commerce/commerce-order-web/__liferay__/index.js;3719;12975
apps/commerce/commerce-payment-web/__liferay__/index.js;2042;5754
apps/commerce/commerce-pricing-web/__liferay__/index.js;5611;35717
apps/commerce/commerce-product-asset-categories-navigation-web/__liferay__/index.js;918;1946
apps/commerce/commerce-product-asset-categories-web/__liferay__/index.js;1311;3173
apps/commerce/commerce-product-content-category-web/__liferay__/index.js;274;441
