BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/AccessibilityMenu.tsx;588;2128
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/accessibilityMenuOpener.ts;64;120
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/AccessibilitySetting.tsx;151;385
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/util.ts;129;276
apps/accessibility/accessibility-settings-state-web/__liferay__/index.js:/index.ts;171;421
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountContactAddressZipValidator.js;179;526
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntriesAdminPortlet.es.js;143;538
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntriesManagementToolbarPropsTransformer.js;227;817
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntryAddressesManagementToolbarPropsTransformer.js;193;537
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountOrganizationsManagementToolbarPropsTransformer.js;288;1060
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountRolesManagementToolbarPropsTransformer.js;193;525
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountUserDropdownDefaultPropsTransformer.js;77;156
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountUsersManagementToolbarPropsTransformer.js;394;1730
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/actions.js;242;778
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AddressSubtypeAutocomplete.tsx;525;1952
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/CountryRegionDynamicSelect.js;29;36
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/DefaultAddresses.js;288;983
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/InviteUsersForm.tsx;618;2391
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/InviteUsersFormGroup.tsx;481;2046
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/PersonAccountEntryEventHandler.es.js;366;1964
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/SelectAccountDefaultAddressManagementToolbarPropsTransformer.js;77;152
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/SelectAccountUsersManagementToolbarPropsTransformer.js;74;142
apps/account/account-admin-web/__liferay__/index.js:/js/account_groups_admin/AccountGroupAccountEntriesManagementToolbarPropsTransformer.js;295;1065
apps/account/account-admin-web/__liferay__/index.js:/js/account_groups_admin/AccountGroupsManagementToolbarPropsTransformer.js;190;515
apps/account/account-admin-web/__liferay__/index.js:/js/account_users_admin/AccountUserEmailDomainValidator.es.js;602;2562
apps/account/account-admin-web/__liferay__/index.js:/js/account_users_admin/AccountUsersAdminManagementToolbarPropsTransformer.js;523;2529
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/AdaptiveMediaProgress.js;633;2088
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/EditAdaptiveMedia.js;1204;4503
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/form/Components.js;405;1331
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/form/validations.js;198;408
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/utils/entryIcons.js;96;281
apps/address/address-web/__liferay__/index.js:/js/CountriesManagementToolbarPropsTransformer.js;263;974
apps/address/address-web/__liferay__/index.js:/js/CountryRegionDynamicSelect.js;372;1095
apps/address/address-web/__liferay__/index.js:/js/RegionsManagementToolbarPropsTransformer.js;302;1090
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/AICreatorImageModal.tsx;524;2270
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/AICreatorModal.tsx;454;1889
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/ErrorMessage.tsx;154;532
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/FormContent.tsx;262;1201
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/FormFooter.tsx;229;952
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/FormImage.tsx;262;1118
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/ImagesResult.tsx;204;758
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/LoadingMessage.tsx;139;442
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/TextContent.tsx;131;358
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/attributes/Attributes.tsx;494;2761
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/attributes/Modal.tsx;291;1238
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/BasePage.tsx;90;328
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/connect/Connect.tsx;420;1949
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/connect/DisconnectModal.tsx;302;1235
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/Loading.tsx;91;276
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/AccountGroupsModal.tsx;160;600
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/Modal.tsx;280;1024
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/OrganizationsModal.tsx;159;597
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/People.tsx;536;4449
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/UserGroupsModal.tsx;160;586
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/AssignModal.tsx;356;1712
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/ChannelTab.tsx;195;743
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/CreatePropertyModal.tsx;315;1290
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/Properties.tsx;576;3167
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/SitesTab.tsx;184;677
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/Tab.tsx;178;592
