BUNDLE;GZIP;SIZE
apps/dynamic-data-mapping/dynamic-data-mapping-data-provider-web/__liferay__/index.(ODW2OD7C).js;522;872
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/api.(3YNUCOFG).js;4075;11306
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/css/leaflet$dist$leaflet.(V72YAKG3).css;2629;10882
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/index.(F4IE4KZE).js;77804;270450
apps/dynamic-data-mapping/dynamic-data-mapping-form-web/__liferay__/index.(676AEGXA).js;32388;106510
apps/dynamic-data-mapping/dynamic-data-mapping-web/__liferay__/index.(6S2JWYDR).js;563;1562
apps/expando/expando-taglib/__liferay__/index.(PFD7YTCF).js;339;439
apps/expando/expando-web/__liferay__/index.(BIMXP67B).js;574;904
apps/export-import/export-import-web/__liferay__/index.(YJ5JRPQI).js;6037;21671
apps/feature-flag/feature-flag-web/__liferay__/index.(7JQ7AKRR).js;1560;3802
apps/flags/flags-taglib/__liferay__/index.(L3762LKY).js;3438;10066
apps/fragment/fragment-collection-filter-category/__liferay__/index.(NE37ZCKM).js;1535;3433
apps/fragment/fragment-collection-filter-date/__liferay__/index.(4UQ56GBB).js;989;2518
apps/fragment/fragment-collection-filter-keyword/__liferay__/index.(FATANPMP).js;719;1393
apps/fragment/fragment-collection-filter-tags/__liferay__/index.(MW76AJ56).js;831;1560
apps/fragment/fragment-impl/__liferay__/api.(CXMNAZ3Q).js;5168;15110
apps/fragment/fragment-impl/__liferay__/index.(5UZERQJK).js;65;45
apps/fragment/fragment-renderer-collection-filter-impl/__liferay__/index.(RI6GBYXP).js;1016;2282
apps/fragment/fragment-renderer-react-impl/__liferay__/index.(G252ZZJL).js;65;45
apps/fragment/fragment-video-streaming/__liferay__/index.(ZZPNDBFX).js;541;878
apps/fragment/fragment-web/__liferay__/index.(SJZKWNMP).js;11869;44492
apps/friendly-url/friendly-url-taglib/__liferay__/index.(KKVOMMIQ).js;2877;8263
apps/friendly-url/friendly-url-web/__liferay__/index.(B6ATWG6B).js;1347;3256
apps/frontend-data-set/frontend-data-set-admin-web/__liferay__/index.(H7RJLC6K).js;32461;140896
apps/frontend-data-set/frontend-data-set-web/__liferay__/index.(EQB47WC4).js;45417;153476
apps/frontend-editor/frontend-editor-alloyeditor-web/__liferay__/index.(G252ZZJL).js;65;45
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/css/ckeditor5$ckeditor5.(LDQIKG7I).css;36784;273078
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-adapter-ckfinder$dist$index.js.(A7RLYGOE).js;1475;2911
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-alignment$dist$index.js.(476WBT5E).js;5734;15794
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-autoformat$dist$index.js.(CRBZWGWM).js;4981;13077
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-autosave$dist$index.js.(42N3QBUR).js;2699;6203
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-basic-styles$dist$index.js.(OU2JYT2G).js;4917;17307
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-block-quote$dist$index.js.(3Z766ETJ).js;5425;14939
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-bookmark$dist$index.js.(CVD2DVWS).js;8701;25858
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-ckbox$dist$index.js.(KWNOSBEE).js;14788;43134
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-ckfinder$dist$index.js.(YKUSFZTE).js;5154;14300
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-clipboard$dist$index.js.(KGQWZFTR).js;14906;46552
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-cloud-services$dist$index.js.(OUHJ3NHN).js;3484;8375
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-code-block$dist$index.js.(LA4JNHMW).js;9990;29854
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-core$dist$index.js.(GQ7JIZKA).js;10455;30014
