BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:build/node-scripts/import/@clayui$alert.js;77;165
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:build/node-scripts/import/@clayui$button.js;98;210
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:build/node-scripts/import/@clayui$form.js;146;359
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:build/node-scripts/import/@clayui$modal.js;154;368
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:build/node-scripts/import/prop-types.js;190;471
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:build/node-scripts/import/react.js;307;812
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:/js/AccessibilityMenu.tsx;718;2258
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:/js/accessibilityMenuOpener.ts;75;120
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:/js/AccessibilitySetting.tsx;174;370
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js:/js/util.ts;180;324
apps/accessibility/accessibility-settings-state-web/__liferay__/index.(KIXPOCZT).js:/index.ts;203;577
apps/accessibility/accessibility-settings-state-web/__liferay__/index.(KIXPOCZT).js:/isReducedMotion.ts;148;215
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:build/node-scripts/import/@clayui$autocomplete.js;75;210
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:build/node-scripts/import/@clayui$button.js;78;212
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:build/node-scripts/import/@clayui$form.js;114;361
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:build/node-scripts/import/@clayui$icon.js;74;192
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:build/node-scripts/import/@clayui$layout.js;109;362
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:build/node-scripts/import/@clayui$multi-select.js;75;202
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:build/node-scripts/import/react.js;246;814
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AccountContactAddressZipValidator.js;188;526
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AccountEntriesAdminPortlet.es.js;171;601
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AccountEntriesManagementToolbarPropsTransformer.js;245;878
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AccountEntryAddressesManagementToolbarPropsTransformer.js;214;621
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AccountOrganizationsManagementToolbarPropsTransformer.js;317;1135
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AccountRolesManagementToolbarPropsTransformer.js;215;609
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AccountUserDropdownDefaultPropsTransformer.js;80;156
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AccountUsersManagementToolbarPropsTransformer.js;430;1794
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/actions.js;265;803
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/AddressSubtypeAutocomplete.tsx;551;1927
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/CountryRegionDynamicSelect.js;61;95
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/DefaultAddresses.js;314;1044
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/InviteUsersForm.tsx;649;2458
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/InviteUsersFormGroup.tsx;481;1958
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/PersonAccountEntryEventHandler.es.js;392;2052
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/SelectAccountDefaultAddressManagementToolbarPropsTransformer.js;105;211
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_entries_admin/SelectAccountUsersManagementToolbarPropsTransformer.js;100;201
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js:/js/account_groups_admin/AccountGroupAccountEntriesManagementToolbarPropsTransformer.js;323;1143
