BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.(TTQZ7JBU).js:/js/AccessibilityMenu.tsx;603;2176
apps/accessibility/accessibility-menu-web/__liferay__/index.(TTQZ7JBU).js:/js/accessibilityMenuOpener.ts;65;120
apps/accessibility/accessibility-menu-web/__liferay__/index.(TTQZ7JBU).js:/js/AccessibilitySetting.tsx;152;385
apps/accessibility/accessibility-menu-web/__liferay__/index.(TTQZ7JBU).js:/js/util.ts;130;276
apps/accessibility/accessibility-settings-state-web/__liferay__/index.(E5CTYT6W).js:/index.ts;173;421
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AccountContactAddressZipValidator.js;179;526
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AccountEntriesAdminPortlet.es.js;142;538
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AccountEntriesManagementToolbarPropsTransformer.js;227;817
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AccountEntryAddressesManagementToolbarPropsTransformer.js;193;537
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AccountOrganizationsManagementToolbarPropsTransformer.js;288;1060
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AccountRolesManagementToolbarPropsTransformer.js;192;525
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AccountUserDropdownDefaultPropsTransformer.js;77;156
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AccountUsersManagementToolbarPropsTransformer.js;394;1730
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/actions.js;242;778
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/AddressSubtypeAutocomplete.tsx;525;1952
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/CountryRegionDynamicSelect.js;29;36
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/DefaultAddresses.js;288;983
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/InviteUsersForm.tsx;618;2391
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/InviteUsersFormGroup.tsx;481;2046
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/PersonAccountEntryEventHandler.es.js;365;1964
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/SelectAccountDefaultAddressManagementToolbarPropsTransformer.js;77;152
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js:/js/account_entries_admin/SelectAccountUsersManagementToolbarPropsTransformer.js;74;142
