BUNDLE;IMPORT;SYMBOLS
"modules/apps/commerce/commerce-order-content-web";"commerce-frontend-js";"DropdownMenuComponent,Multishipping,createCommerceCart"
"modules/apps/commerce/commerce-order-rule-web";"commerce-order-rule-web";"accountEntries,accountGroups,addCOREntry,commerceChannels,commerceOrderTypes,details,editCOREntry,productsLimit,qualifiers"
"modules/apps/commerce/commerce-order-web";"commerce-order-web";"addCommerceOrderType,channels,commerceReturnItemsPropsTransformer,deleteCommerceOrdersPropsTransformer,deleteCommerceReturnsPropsTransformer,editCommerceOrderType,editCommerceReturn,editCommerceReturnItem,qualifiers,summary,termsDescriptionHandler"
"modules/apps/commerce/commerce-payment-web";"commerce-payment-web";"commerceOrderTypes,commercePaymentPropsTransformer,commerceTermEntries,editCommercePaymentEntry,qualifiers"
"modules/apps/commerce/commerce-pricing-web";"commerce-pricing-web";"AddPriceEntryForm,PriceEntry,accountGroups,accounts,addCommerceDiscount,addCommerceDiscountRule,addCommercePricingClass,categories,channels,commerceDiscountsTargetProducts,commercePriceListsModifierCategories,cpDefinitionPricingClasses,cpInstanceCommercePriceLists,detailsAutocomplete,orderTypes,priceModifierPricingClasses,priceModifierProducts,pricingClasses,pricingClassesProducts,pricingEntries,products,qualifierAccountGroups,qualifierAccounts,qualifierChannels,qualifierOrderTypes,skus"
"modules/apps/commerce/commerce-product-asset-categories-navigation-web";"commerce-product-asset-categories-navigation-web";"configuration"
"modules/apps/commerce/commerce-product-asset-categories-web";"commerce-product-asset-categories-web";"EditAssetCategoryCPDisplayLayout"
"modules/apps/commerce/commerce-product-content-category-web";"commerce-product-content-category-web";"configuration"
"modules/apps/commerce/commerce-product-content-search-web";"portal-search-web";"FacetUtil"
"modules/apps/commerce/commerce-product-content-search-web";"commerce-product-content-search-web";"priceRangeFacetsView,productListRenderer,selectionStyle,sortView"
"modules/apps/commerce/commerce-product-content-web";"commerce-product-content-web";"AutoField,AvailabilityCPInstanceChangeHandler,CPInstanceChangeHandler,OptionSelector,Tabs,miniCompare,replacementCPInstancePropsTransformer"
"modules/apps/commerce/commerce-product-content-web";"commerce-frontend-js";"GalleryComponent"
"modules/apps/commerce/commerce-product-definitions-web";"commerce-product-definitions-web";"CPConfigurationEntryFDSPropsTransformer,CPConfigurationListAutocomplete,CPDefinitionSpecificationOptionValueAutocomplete,CPDefinitionSpecificationOptionValueGroupOption,EditDisplayLayout,InstanceDetails,accountGroups,accounts,addCPDefinitionSpecificationOptionValue,addCpConfigurationList,addCpDefinition,addCpInstanceUnitOfMeasure,channels,debounceDetails,definitionOptionRels,duplicateCpDefinitionAutocomplete,editCpConfigurationEntry,editCpConfigurationList,editCpDefinition,editCpDefinitionOptionValueAutocomplete,editCpDefinitionOptionValueRel,editCpDefinitionVisibility,editCpInstanceUnitOfMeasure,orderTypes,qualifiers,viewCpInstanceUnitOfMeasure"
"modules/apps/commerce/commerce-product-definitions-web";"commerce-frontend-js";"ProductOptionCheckbox,ProductOptionCheckboxMultiple,ProductOptionDate,ProductOptionNumeric,ProductOptionRadio,ProductOptionSelect,ProductOptionText"
