BUNDLE;GZIP;SIZE
apps/frontend-editor/frontend-editor-alloyeditor-web/__liferay__/index.js;54;34
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/css/ckeditor5$ckeditor5.css;33286;249594
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-react.js;9205;27289
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/ckeditor5.js;388658;1452201
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/index.js;21697;63635
apps/frontend-icons/frontend-icons-web/__liferay__/index.js;143;191
apps/frontend-js/frontend-js-a11y-web/__liferay__/index.js;7565;27151
apps/frontend-js/frontend-js-bootstrap-support-web/__liferay__/index.js;2345;8309
apps/frontend-js/frontend-js-codemirror-web/__liferay__/css/codemirror$addon$fold$foldgutter.css;243;441
apps/frontend-js/frontend-js-codemirror-web/__liferay__/css/codemirror$addon$hint$show-hint.css;345;562
apps/frontend-js/frontend-js-codemirror-web/__liferay__/css/codemirror$lib$codemirror.css;1615;6030
apps/frontend-js/frontend-js-codemirror-web/__liferay__/index.js;94742;286271
apps/frontend-js/frontend-js-components-web/__liferay__/index.js;9797;35358
apps/frontend-js/frontend-js-dependencies-web/__liferay__/css/cropperjs$dist$cropper.css;1272;3786
apps/frontend-js/frontend-js-dependencies-web/__liferay__/css/graphiql$graphiql.css;6442;27392
apps/frontend-js/frontend-js-dependencies-web/__liferay__/css/highlight.js$styles$monokai-sublime.css;416;848
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/@liferay$js-api.js;381;600
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/@liferay$js-api$data-set.js;423;705
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/axe-core.js;111540;423636
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/clipboard.js;3830;11533
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/cropperjs.js;12621;38736
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/dagre.js;54755;152056
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/dom-align.js;5248;13642
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/fuzzy.js;846;1564
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/graphiql.js;182711;611741
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/graphql-hooks-memcache.js;1681;4041
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/graphql-hooks.js;3651;9899
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/graphql.js;47091;187747
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js.js;281762;971732
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js$lib$core.js;8408;20872
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js$lib$languages$java.js;1358;3164
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js$lib$languages$javascript.js;2516;5871
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js$lib$languages$plaintext.js;466;757
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/html-to-image.js;5304;13211
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/image-promise.js;744;1490
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/jspdf.js;229538;751898
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/liferay-ckeditor.js;194552;640944
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/lodash.groupby.js;4986;12843
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/lodash.isequal.js;4143;10752
