BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.(TTQZ7JBU).js;1893;5000
apps/accessibility/accessibility-settings-state-web/__liferay__/index.(E5CTYT6W).js;504;909
apps/account/account-admin-web/__liferay__/index.(FAT73XOV).js;6866;25201
apps/adaptive-media/adaptive-media-web/__liferay__/index.(BJYVID6P).js;3783;11110
apps/address/address-web/__liferay__/index.(ZGHQ5N2N).js;1304;3901
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(JCXPQQRI).js;3190;11836
apps/analytics/analytics-reports-js-components-web/__liferay__/index.(PTUH3443).js;57720;180316
apps/analytics/analytics-settings-web/__liferay__/index.(3Y4DD7P3).js;13156;56978
apps/announcements/announcements-web/__liferay__/index.(5YAPIPGU).js;699;1137
apps/application-list/application-list-taglib/__liferay__/index.(V373CTD6).js;1634;3922
apps/asset/asset-categories-admin-web/__liferay__/index.(7TITDY2I).js;2989;9190
apps/asset/asset-categories-item-selector-web/__liferay__/index.(25TMSNLJ).js;3056;8884
apps/asset/asset-list-web/__liferay__/index.(TJICGOXA).js;8482;29400
apps/asset/asset-publisher-web/__liferay__/index.(6ERFUSCO).js;5822;19223
apps/asset/asset-taglib/__liferay__/index.(6G5OP5EQ).js;5151;16611
apps/asset/asset-tags-admin-web/__liferay__/index.(WG66HCSG).js;1000;1888
apps/batch-planner/batch-planner-web/__liferay__/index.(D2S7ISZL).js;11177;41038
apps/blogs/blogs-web/__liferay__/index.(WY4PYKZI).js;4874;15449
apps/bookmarks/bookmarks-web/__liferay__/index.(5Y2DM4HY).js;1153;2422
apps/calendar/calendar-web/__liferay__/index.(PLZNCGCC).js;857;2130
apps/change-tracking/change-tracking-web/__liferay__/index.(LLT6QAVF).js;30559;133866
apps/client-extension/client-extension-web/__liferay__/index.(UYARLEQT).js;4000;12329
apps/comment/comment-taglib/__liferay__/index.(ORRADWEV).js;3881;10978
apps/commerce/commerce-account-web/__liferay__/index.(CGT7NL6R).js;1107;2143
apps/commerce/commerce-availability-estimate-web/__liferay__/index.(IONC33XA).js;635;1019
apps/commerce/commerce-cart-content-web/__liferay__/index.(VN3D5MX2).js;1212;3454
apps/commerce/commerce-catalog-web/__liferay__/index.(ULXU5SOY).js;1045;3087
apps/commerce/commerce-channel-web/__liferay__/index.(NKLYWLKP).js;4122;11836
apps/commerce/commerce-checkout-web/__liferay__/index.(N6KXWU2W).js;2634;7270
apps/commerce/commerce-client-extension-web/__liferay__/index.(Z3VGROTY).js;458;682
apps/commerce/commerce-fragment/commerce-fragment-impl/__liferay__/index.(JVVEODW2).js;2808;8512
apps/commerce/commerce-frontend-js/__liferay__/index.(4VYKDHFZ).js;60772;232634
apps/commerce/commerce-frontend-taglib/__liferay__/index.(D3GHTAWQ).js;4448;13766
apps/commerce/commerce-order-content-web/__liferay__/index.(BZA55IPX).js;14872;65677
apps/commerce/commerce-order-rule-web/__liferay__/index.(RCGGV665).js;1983;7743
apps/commerce/commerce-order-web/__liferay__/index.(73J6TULY).js;3732;12986
apps/commerce/commerce-payment-web/__liferay__/index.(TQW54YMG).js;2056;5709
apps/commerce/commerce-pricing-web/__liferay__/index.(NTBHRENV).js;5603;35726
apps/commerce/commerce-product-asset-categories-navigation-web/__liferay__/index.(UQQ5JZTP).js;932;1957
apps/commerce/commerce-product-asset-categories-web/__liferay__/index.(VKRGI34E).js;1326;3184
apps/commerce/commerce-product-content-category-web/__liferay__/index.(4CY2LJS2).js;288;452
apps/commerce/commerce-product-content-search-web/__liferay__/index.(657U7JDQ).js;1085;2424
apps/commerce/commerce-product-content-web/__liferay__/index.(DBITKNBL).js;3632;11602
apps/commerce/commerce-product-definitions-web/__liferay__/index.(WV457FO5).js;9384;40085
apps/commerce/commerce-product-measurement-unit-web/__liferay__/index.(6A3WFJ4Q).js;792;1407
apps/commerce/commerce-product-options-web/__liferay__/index.(2BFI3EKB).js;3690;12594
apps/commerce/commerce-product-tax-category-web/__liferay__/index.(EDXNWURR).js;637;995
apps/commerce/commerce-product-type-grouped-web/__liferay__/index.(M36EEOXN).js;806;1433
apps/commerce/commerce-product-type-virtual-order-content-web/__liferay__/index.(CRHGLOCK).js;771;1256
apps/commerce/commerce-product-type-virtual-web/__liferay__/index.(YCSJ5KDG).js;544;1086
apps/commerce/commerce-shipment-web/__liferay__/index.(NPDPCRBU).js;250;318
apps/commerce/commerce-shipping-engine-fixed-web/__liferay__/index.(LGEUP6JJ).js;1329;3498
apps/commerce/commerce-taglib/__liferay__/index.(IHLDYI7V).js;432;701
apps/commerce/commerce-tax-engine-fixed-web/__liferay__/index.(NGRQYIJ4).js;417;726
apps/commerce/commerce-term-web/__liferay__/index.(SZPCBUL7).js;1596;3868
apps/commerce/commerce-warehouse-web/__liferay__/index.(AHLJTJZL).js;2188;7590
apps/configuration-admin/configuration-admin-web/__liferay__/index.(BMQGFD7Z).js;539;860
apps/contacts/contacts-web/__liferay__/index.(G252ZZJL).js;65;45
apps/content-dashboard/content-dashboard-document-library-impl/__liferay__/index.(6WVIYTMG).js;480;846
apps/content-dashboard/content-dashboard-web/__liferay__/index.(XMX6PBFC).js;16312;58154
apps/cookies/cookies-banner-web/__liferay__/index.(BFLEY2ZX).js;2746;7161
apps/data-engine/data-engine-js-components-web/__liferay__/index.(HQHKA7X2).js;48103;161809
apps/data-engine/data-engine-rest-impl/__liferay__/index.(G252ZZJL).js;65;45
apps/data-engine/data-engine-taglib/__liferay__/index.(KZ4ZNMXN).js;25068;92708
apps/depot/depot-web/__liferay__/index.(KREXAO7Q).js;5668;18777
