BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.(YZ3763ZK).js;2165;5502
apps/accessibility/accessibility-settings-state-web/__liferay__/index.(KIXPOCZT).js;398;837
apps/account/account-admin-web/__liferay__/index.(7VEVWL2A).js;7315;26332
apps/account/account-validator-vies-web/__liferay__/index.(WHWG4BVC).js;308;430
apps/adaptive-media/adaptive-media-web/__liferay__/index.(MKX7RUJQ).js;4314;12070
apps/address/address-web/__liferay__/index.(TV4REGNQ).js;1389;4119
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(5ERBCYHV).js;3369;11729
apps/ai-hub-cell/ai-hub-cell-js-components-web/__liferay__/index.(ODPSSYBC).js;23027;81085
apps/ai-hub-cell/ai-hub-cell-js-components-web/__liferay__/renderAIAssistantTrigger.(GY3Q77UY).js;18326;64816
apps/analytics/analytics-reports-js-components-web/__liferay__/index.(7Z2YREUX).js;58897;181048
apps/analytics/analytics-settings-web/__liferay__/index.(3S6WS5UI).js;12646;51107
apps/announcements/announcements-web/__liferay__/index.(ELF5XY7M).js;473;709
apps/application-list/application-list-taglib/__liferay__/index.(TL2ZSLKW).js;5667;16427
apps/asset/asset-categories-admin-web/__liferay__/index.(V54D6S3M).js;3617;10718
apps/asset/asset-categories-item-selector-web/__liferay__/index.(F65VWCLO).js;3518;9807
apps/asset/asset-list-web/__liferay__/index.(ENXCEVH4).js;13799;48401
apps/asset/asset-publisher-web/__liferay__/index.(MOHLW7BP).js;6117;20043
apps/asset/asset-taglib/__liferay__/index.(GN2CSZAO).js;6576;20072
apps/asset/asset-tags-admin-web/__liferay__/index.(36IRKRUO).js;774;1497
apps/audiences/audiences-web/__liferay__/index.(AVGHEI4S).js;10485;33486
apps/batch-planner/batch-planner-web/__liferay__/index.(XWQ4M3I4).js;11760;41559
apps/blogs/blogs-web/__liferay__/index.(N5EBA3PV).js;5018;15604
apps/bookmarks/bookmarks-web/__liferay__/index.(SZIBS33H).js;917;1985
apps/calendar/calendar-web/__liferay__/index.(WE3GWEBB).js;830;2082
apps/change-tracking/change-tracking-web/__liferay__/index.(LGS4VXXW).js;32869;137478
apps/client-extension/client-extension-web/__liferay__/index.(PNEEACIH).js;4448;12910
apps/comment/comment-taglib/__liferay__/index.(KXI4N5P3).js;4223;11259
apps/commerce/commerce-account-web/__liferay__/index.(SAXN54LZ).js;870;1747
apps/commerce/commerce-availability-estimate-web/__liferay__/index.(3AHV3477).js;415;591
apps/commerce/commerce-cart-content-web/__liferay__/index.(AYSYVQMF).js;993;3022
apps/commerce/commerce-catalog-web/__liferay__/index.(HM22R4NR).js;827;2708
apps/commerce/commerce-channel-web/__liferay__/index.(UR74ZUNE).js;4208;11810
apps/commerce/commerce-checkout-web/__liferay__/index.(P3FMHUMH).js;2767;7460
apps/commerce/commerce-client-extension-web/__liferay__/index.(ZRHYW3XZ).js;256;302
apps/commerce/commerce-fragment/commerce-fragment-impl/__liferay__/index.(KHXI6PQE).js;3014;8975
apps/commerce/commerce-frontend-js/__liferay__/index.(XO6ITQUE).js;62625;233384
apps/commerce/commerce-frontend-taglib/__liferay__/index.(SQLXMPRD).js;4896;14590
apps/commerce/commerce-order-content-web/__liferay__/index.(3MU724VQ).js;16373;69461
apps/commerce/commerce-order-rule-web/__liferay__/index.(R3ITGJIT).js;1838;7635
apps/commerce/commerce-order-web/__liferay__/index.(UNC3SXHO).js;5700;20078
apps/commerce/commerce-payment-web/__liferay__/index.(U67YT5KT).js;2287;6289
apps/commerce/commerce-pricing-web/__liferay__/index.(GQMLQHZE).js;6408;37186
apps/commerce/commerce-product-asset-categories-navigation-web/__liferay__/index.(Q7D7TFCW).js;739;1578
apps/commerce/commerce-product-asset-categories-web/__liferay__/index.(VEZW2C2F).js;1328;3353
apps/commerce/commerce-product-content-category-web/__liferay__/index.(4CY2LJS2).js;288;452
apps/commerce/commerce-product-content-search-web/__liferay__/index.(JYA7E5E4).js;908;2108
apps/commerce/commerce-product-content-web/__liferay__/index.(FKAVZ655).js;3810;11805
apps/commerce/commerce-product-definitions-web/__liferay__/index.(QJYHGNXA).js;10096;42297
apps/commerce/commerce-product-measurement-unit-web/__liferay__/index.(4R4IKDEA).js;539;939
apps/commerce/commerce-product-options-web/__liferay__/index.(KAAMZQWS).js;3933;13154
apps/commerce/commerce-product-tax-category-web/__liferay__/index.(GP4K734P).js;541;938
apps/commerce/commerce-product-type-grouped-web/__liferay__/index.(ANJYMSVX).js;582;1006
apps/commerce/commerce-product-type-virtual-order-content-web/__liferay__/index.(J26PZLM5).js;546;828
apps/commerce/commerce-product-type-virtual-web/__liferay__/index.(LHOEUSQQ).js;514;1038
apps/commerce/commerce-shipment-web/__liferay__/index.(NPDPCRBU).js;250;318
apps/commerce/commerce-shipping-engine-fixed-web/__liferay__/index.(FM7YZDWC).js;1107;3194
apps/commerce/commerce-taglib/__liferay__/index.(FRSFLEGL).js;224;321
apps/commerce/commerce-tax-engine-fixed-web/__liferay__/index.(NGRQYIJ4).js;417;726
apps/commerce/commerce-term-web/__liferay__/index.(67MU6QXX).js;1391;3620
apps/commerce/commerce-warehouse-web/__liferay__/index.(BD2QWIBE).js;2043;7569
apps/configuration-admin/configuration-admin-web/__liferay__/index.(AQFHPX4F).js;341;480
apps/contacts/contacts-web/__liferay__/index.(G252ZZJL).js;65;45
apps/content-dashboard/content-dashboard-document-library-impl/__liferay__/index.(F3VAM32E).js;547;1000
apps/content-dashboard/content-dashboard-web/__liferay__/index.(5GA2MSVD).js;17240;58592
apps/cookies/cookies-banner-web/__liferay__/index.(MEHBJTNG).js;4007;12651
apps/data-engine/data-engine-js-components-web/__liferay__/index.(7HVSGHXW).js;49735;163404
apps/data-engine/data-engine-rest-impl/__liferay__/index.(G252ZZJL).js;65;45
apps/data-engine/data-engine-taglib/__liferay__/index.(OYZAXLW6).js;26782;96388
apps/depot/depot-web/__liferay__/index.(B6X536KG).js;6149;19630
apps/design-library/design-library-web/__liferay__/index.(BRHG4JT4).js;9612;37528
apps/digital-signature/digital-signature-web/__liferay__/index.(XPX7ESBH).js;14415;47289
apps/dispatch/dispatch-web/__liferay__/index.(IC5SUX62).js;625;1346
apps/document-library/document-library-preview-css/__liferay__/index.(VMEGINO5).js;340;565
apps/document-library/document-library-preview-document/__liferay__/index.(VWUMKOYY).js;2133;5401
apps/document-library/document-library-preview-image/__liferay__/index.(SU6QQKVQ).js;1534;3797
apps/document-library/document-library-taglib/__liferay__/index.(6E7JUVGQ).js;1245;3622
apps/document-library/document-library-video/__liferay__/index.(XUUWCSZU).js;2635;7006
apps/document-library/document-library-web/__liferay__/index.(XNGSNFAI).js;15395;53838
apps/dynamic-data-lists/dynamic-data-lists-web/__liferay__/index.(H3CAPU4C).js;815;2171
apps/dynamic-data-mapping/dynamic-data-mapping-data-provider-web/__liferay__/index.(4VN73DHI).js;493;824
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/api.(DNKMXZFO).js;4378;12156
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/css/leaflet$dist$leaflet.(V72YAKG3).css;2629;10882
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/index.(4BN6ZDFQ).js;78504;271461
apps/dynamic-data-mapping/dynamic-data-mapping-form-web/__liferay__/index.(KFPHQJQD).js;19641;70223
apps/dynamic-data-mapping/dynamic-data-mapping-web/__liferay__/index.(Z3NGHLWH).js;535;1466
apps/expando/expando-taglib/__liferay__/index.(PFD7YTCF).js;339;439
apps/expando/expando-web/__liferay__/index.(BIMXP67B).js;574;904
apps/export-import/export-import-web/__liferay__/index.(3PNXJNBC).js;25711;93948
apps/feature-flag/feature-flag-web/__liferay__/index.(3L4VAUST).js;1554;3729
apps/flags/flags-taglib/__liferay__/index.(53RN5YMU).js;3426;9954
apps/fragment/fragment-collection-filter-category/__liferay__/index.(B2LWL53Z).js;1528;3442
apps/fragment/fragment-collection-filter-date/__liferay__/index.(I3LANOVX).js;960;2470
apps/fragment/fragment-collection-filter-keyword/__liferay__/index.(ICEMBWN4).js;743;1444
apps/fragment/fragment-collection-filter-tags/__liferay__/index.(ZHKQJ2ZH).js;841;1602
apps/fragment/fragment-impl/__liferay__/api.(Z7PHLTYF).js;7344;21950
apps/fragment/fragment-impl/__liferay__/index.(5UZERQJK).js;65;45
apps/fragment/fragment-renderer-collection-filter-impl/__liferay__/index.(RI6GBYXP).js;1016;2282
apps/fragment/fragment-renderer-react-impl/__liferay__/index.(G252ZZJL).js;65;45
apps/fragment/fragment-web/__liferay__/index.(D7C7D7PY).js;12107;44885
apps/friendly-url/friendly-url-taglib/__liferay__/index.(N65FZV4B).js;2902;8241
apps/friendly-url/friendly-url-web/__liferay__/index.(AEUCIQG3).js;1333;3248
apps/frontend-data-set/frontend-data-set-admin-web/__liferay__/index.(HLKZN3L4).js;33813;145436
apps/frontend-data-set/frontend-data-set-fragment-web/__liferay__/index.(6T6IUOL3).js;5167;17908
apps/frontend-data-set/frontend-data-set-web/__liferay__/api.(QA3ARJF3).js;848;1920
apps/frontend-data-set/frontend-data-set-web/__liferay__/index.(A5C5I4KZ).js;52927;174169
apps/frontend-editor/frontend-editor-alloyeditor-web/__liferay__/index.(G252ZZJL).js;65;45
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/css/ckeditor5-premium-features$ckeditor5-premium-features.(ARGH7SY4).css;30872;217653
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/css/ckeditor5$ckeditor5.(LDQIKG7I).css;36784;273078
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-adapter-ckfinder$dist$index.js.(A7RLYGOE).js;1475;2911
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-alignment$dist$index.js.(476WBT5E).js;5734;15794
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-autoformat$dist$index.js.(CRBZWGWM).js;4981;13077
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-autosave$dist$index.js.(42N3QBUR).js;2699;6203
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-basic-styles$dist$index.js.(OU2JYT2G).js;4917;17307
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-block-quote$dist$index.js.(3Z766ETJ).js;5425;14939
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-bookmark$dist$index.js.(CVD2DVWS).js;8701;25858
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-case-change$dist$index.js.(XKYQCUNO).js;9052;26807
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-ckbox$dist$index.js.(KWNOSBEE).js;14788;43134
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-ckfinder$dist$index.js.(YKUSFZTE).js;5154;14300
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-clipboard$dist$index.js.(KGQWZFTR).js;14906;46552
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-cloud-services$dist$index.js.(OUHJ3NHN).js;3484;8375
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-code-block$dist$index.js.(LA4JNHMW).js;9990;29854
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-core$dist$index.js.(GQ7JIZKA).js;10455;30014
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-document-outline$dist$index.js.(AXRALLHM).js;14084;53312
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-easy-image$dist$index.js.(EYLBE4SZ).js;1915;4271
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-balloon$dist$index.js.(N54OPX3R).js;5160;13982
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-classic$dist$index.js.(2CMGHQPQ).js;5890;16250
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-decoupled$dist$index.js.(OPLJWEKY).js;5232;14294
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-inline$dist$index.js.(MF6VIAIS).js;5693;15556
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-multi-root$dist$index.js.(XBC64F56).js;6898;20217
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-email$dist$index.js.(SU7XHOMD).js;7003;24980
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-emoji$dist$index.js.(OY5DB74Y).js;17126;49591
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-engine$dist$index.js.(LT77YQKM).js;85930;337029
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-enter$dist$index.js.(NQHVATMX).js;4330;11079
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-essentials$dist$index.js.(5MJYXDOH).js;2162;6104
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-export-inline-styles$dist$index.js.(374SA7JD).js;8872;25832
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-find-and-replace$dist$index.js.(XWC2GCZO).js;10158;32068
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-font$dist$index.js.(IPLNNXSA).js;9467;31487
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-format-painter$dist$index.js.(ADYO3JOV).js;10007;30836
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-fullscreen$dist$index.js.(YNV6DKWW).js;7473;27714
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-heading$dist$index.js.(HMV76AR5).js;8816;25908
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-highlight$dist$index.js.(TSXW4XC2).js;4757;13932
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-horizontal-line$dist$index.js.(3QISGS6Y).js;3989;11142
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-html-embed$dist$index.js.(JGMG3ETY).js;6280;17476
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-html-support$dist$index.js.(RCEWCSW5).js;17693;67180
