BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.js;1872;5149
apps/accessibility/accessibility-settings-state-web/__liferay__/index.js;490;898
apps/account/account-admin-web/__liferay__/index.js;6129;23569
apps/adaptive-media/adaptive-media-web/__liferay__/index.js;3777;11199
apps/address/address-web/__liferay__/index.js;1155;3705
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js;3183;11825
apps/analytics/analytics-settings-web/__liferay__/index.js;13158;57967
apps/announcements/announcements-web/__liferay__/index.js;684;1126
apps/application-list/application-list-taglib/__liferay__/index.js;1629;4016
apps/asset/asset-categories-admin-web/__liferay__/index.js;2955;9361
apps/asset/asset-categories-item-selector-web/__liferay__/index.js;3008;8742
apps/asset/asset-list-web/__liferay__/index.js;8488;30333
apps/asset/asset-publisher-web/__liferay__/index.js;5824;19499
apps/asset/asset-taglib/__liferay__/index.js;5130;16691
apps/asset/asset-tags-admin-web/__liferay__/index.js;993;2081
apps/batch-planner/batch-planner-web/__liferay__/index.js;11176;41627
apps/blogs/blogs-web/__liferay__/index.js;4862;15438
apps/bookmarks/bookmarks-web/__liferay__/index.js;1140;2601
apps/calendar/calendar-web/__liferay__/index.js;846;2119
apps/change-tracking/change-tracking-web/__liferay__/index.js;29131;127334
apps/client-extension/client-extension-web/__liferay__/index.js;3880;12027
apps/comment/comment-taglib/__liferay__/index.js;3843;11257
apps/commerce/commerce-account-web/__liferay__/index.js;1092;2132
apps/commerce/commerce-availability-estimate-web/__liferay__/index.js;621;1008
apps/commerce/commerce-cart-content-web/__liferay__/index.js;1199;3550
apps/commerce/commerce-catalog-web/__liferay__/index.js;1032;3178
apps/commerce/commerce-channel-web/__liferay__/index.js;4118;11825
apps/commerce/commerce-checkout-web/__liferay__/index.js;807;1400
apps/commerce/commerce-client-extension-web/__liferay__/index.js;442;671
apps/commerce/commerce-frontend-js/__liferay__/index.js;57540;237008
apps/commerce/commerce-frontend-taglib/__liferay__/index.js;3840;11564
apps/commerce/commerce-order-content-web/__liferay__/index.js;14666;67459
apps/commerce/commerce-order-rule-web/__liferay__/index.js;1972;7942
apps/commerce/commerce-order-web/__liferay__/index.js;3665;13579
apps/commerce/commerce-payment-web/__liferay__/index.js;2050;6162
apps/commerce/commerce-pricing-web/__liferay__/index.js;5512;35716
apps/commerce/commerce-product-asset-categories-navigation-web/__liferay__/index.js;918;1946
apps/commerce/commerce-product-asset-categories-web/__liferay__/index.js;1309;3166
apps/commerce/commerce-product-content-category-web/__liferay__/index.js;274;441
apps/commerce/commerce-product-content-search-web/__liferay__/index.js;1069;2413
apps/commerce/commerce-product-content-web/__liferay__/index.js;3633;12251
apps/commerce/commerce-product-definitions-web/__liferay__/index.js;8969;39709
apps/commerce/commerce-product-measurement-unit-web/__liferay__/index.js;776;1396
apps/commerce/commerce-product-options-web/__liferay__/index.js;3401;12250
apps/commerce/commerce-product-tax-category-web/__liferay__/index.js;624;984
apps/commerce/commerce-product-type-grouped-web/__liferay__/index.js;790;1422
apps/commerce/commerce-product-type-virtual-order-content-web/__liferay__/index.js;758;1245
apps/commerce/commerce-shipment-web/__liferay__/index.js;240;307
apps/commerce/commerce-shipping-engine-fixed-web/__liferay__/index.js;1316;3547
apps/commerce/commerce-taglib/__liferay__/index.js;418;690
apps/commerce/commerce-tax-engine-fixed-web/__liferay__/index.js;404;715
apps/commerce/commerce-term-web/__liferay__/index.js;1584;3956
apps/commerce/commerce-warehouse-web/__liferay__/index.js;2135;7822
apps/configuration-admin/configuration-admin-web/__liferay__/index.js;525;849
apps/contacts/contacts-web/__liferay__/index.js;54;34
apps/content-dashboard/content-dashboard-document-library-impl/__liferay__/index.js;464;835
apps/content-dashboard/content-dashboard-web/__liferay__/index.js;16079;58305
apps/cookies/cookies-banner-web/__liferay__/index.js;2407;6526
apps/data-engine/data-engine-js-components-web/__liferay__/index.js;47876;171367
apps/data-engine/data-engine-rest-impl/__liferay__/index.js;54;34
apps/data-engine/data-engine-taglib/__liferay__/index.js;25100;95367
apps/depot/depot-web/__liferay__/index.js;5626;18670
apps/digital-signature/digital-signature-web/__liferay__/index.js;12367;44368
apps/dispatch/dispatch-web/__liferay__/index.js;835;1762
apps/document-library/document-library-preview-css/__liferay__/index.js;244;350
apps/document-library/document-library-preview-document/__liferay__/index.js;1837;4776
apps/document-library/document-library-preview-image/__liferay__/index.js;1538;4063
apps/document-library/document-library-taglib/__liferay__/index.js;1399;4022
apps/document-library/document-library-video/__liferay__/index.js;2309;6841
apps/document-library/document-library-web/__liferay__/index.js;14407;52068
apps/dynamic-data-lists/dynamic-data-lists-web/__liferay__/index.js;1007;2520
apps/dynamic-data-mapping/dynamic-data-mapping-data-provider-web/__liferay__/index.js;712;1260
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/css/leaflet$dist$leaflet.css;2616;10871
apps/dynamic-data-mapping/dynamic-data-mapping-form-field-type/__liferay__/index.js;77565;275045
apps/dynamic-data-mapping/dynamic-data-mapping-form-web/__liferay__/index.js;17733;67229
apps/dynamic-data-mapping/dynamic-data-mapping-web/__liferay__/index.js;735;1824
apps/expando/expando-taglib/__liferay__/index.js;524;804
apps/expando/expando-web/__liferay__/index.js;762;1289
apps/export-import/export-import-web/__liferay__/index.js;670;1125
apps/feature-flag/feature-flag-web/__liferay__/index.js;1407;3531
apps/flags/flags-taglib/__liferay__/index.js;3169;9916
apps/fragment/fragment-collection-filter-category/__liferay__/index.js;1336;3111
apps/fragment/fragment-collection-filter-date/__liferay__/index.js;617;1254
apps/fragment/fragment-collection-filter-keyword/__liferay__/index.js;916;1772
apps/fragment/fragment-collection-filter-tags/__liferay__/index.js;757;1451
apps/fragment/fragment-impl/__liferay__/index.js;1843;4637
apps/fragment/fragment-renderer-collection-filter-impl/__liferay__/index.js;1194;2651
apps/fragment/fragment-renderer-react-impl/__liferay__/index.js;54;34
apps/fragment/fragment-video-streaming/__liferay__/index.js;529;867
apps/fragment/fragment-web/__liferay__/index.js;11388;43383
