BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/AccessibilityMenu.tsx;558;2128
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/accessibilityMenuOpener.ts;98;224
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/AccessibilitySetting.tsx;181;489
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/util.ts;156;380
apps/accessibility/accessibility-settings-state-web/__liferay__/index.js:/index.ts;171;421
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountContactAddressZipValidator.js;203;625
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntriesAdminPortlet.es.js;171;637
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntriesManagementToolbarPropsTransformer.js;220;817
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntryAddressesManagementToolbarPropsTransformer.js;187;537
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountOrganizationsManagementToolbarPropsTransformer.js;279;1060
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountRolesManagementToolbarPropsTransformer.js;187;525
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountUserDropdownDefaultPropsTransformer.js;110;255
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountUsersManagementToolbarPropsTransformer.js;383;1730
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/actions.js;235;778
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AddressSubtypeAutocomplete.tsx;510;1952
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/CountryRegionDynamicSelect.js;71;135
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/DefaultAddresses.js;280;983
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/InviteUsersForm.tsx;599;2391
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/InviteUsersFormGroup.tsx;467;2046
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/PersonAccountEntryEventHandler.es.js;355;1964
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/SelectAccountDefaultAddressManagementToolbarPropsTransformer.js;109;251
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/SelectAccountUsersManagementToolbarPropsTransformer.js;106;241
apps/account/account-admin-web/__liferay__/index.js:/js/account_groups_admin/AccountGroupAccountEntriesManagementToolbarPropsTransformer.js;286;1065
apps/account/account-admin-web/__liferay__/index.js:/js/account_groups_admin/AccountGroupsManagementToolbarPropsTransformer.js;184;515
apps/account/account-admin-web/__liferay__/index.js:/js/account_users_admin/AccountUserEmailDomainValidator.es.js;585;2562
apps/account/account-admin-web/__liferay__/index.js:/js/account_users_admin/AccountUsersAdminManagementToolbarPropsTransformer.js;507;2529
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/AdaptiveMediaProgress.js;626;2088
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/EditAdaptiveMedia.js;1190;4503
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/form/Components.js;401;1331
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/form/validations.js;195;408
